0.0100,0.0350,-0.0300,0.0150,-0.1250,0.0200,-0.0150,0.0400,0.0400,-0.0950,0.1700,
0.0000,0.0050,0.0150,-0.0050,-0.1850,0.0050,0.0150,0.0200,0.0200,-0.1500,0.1600,
-0.0050,0.0200,-0.0050,0.0000,-0.1500,-0.0150,-0.0200,0.0600,0.0000,-0.1750,0.2000,
0.0100,0.0050,-0.0500,-0.0550,-0.2050,0.0000,0.0050,0.0200,0.0050,-0.0950,0.1600,
0.0100,0.0700,0.0100,0.0150,-0.1250,0.0150,0.0050,0.0400,0.0300,-0.1800,0.2250,
0.0100,0.0200,-0.0250,-0.0150,-0.2350,-0.0100,0.0050,0.0300,0.0250,-0.1350,0.1250,
0.0150,0.0100,-0.0050,-0.0300,-0.1300,0.0250,0.0400,0.0050,0.0500,-0.1900,0.2000,
0.0200,0.0450,0.0000,-0.0350,-0.1900,0.0100,0.0650,0.0200,0.0150,-0.1000,0.1700,
0.0050,0.0550,-0.0050,-0.0200,-0.1800,-0.0100,0.0450,0.0150,-0.0250,-0.1600,0.1750,
0.0200,0.0000,0.0050,-0.0050,-0.1650,0.0100,-0.0200,0.0050,0.0450,-0.1650,0.2250,
0.0000,-0.0100,-0.0150,-0.0100,-0.2100,0.0050,0.0550,0.0000,-0.0050,-0.2300,0.1600,
-0.0400,0.0400,-0.0100,-0.0250,-0.1600,0.0100,0.0550,0.0350,0.0150,-0.1500,0.1500,
-0.0050,0.0000,0.0050,-0.0350,-0.1700,0.0050,-0.0100,0.0100,0.0300,-0.0800,0.1650,
0.0000,0.0300,0.0150,-0.0550,-0.1300,0.0050,0.0400,0.0050,0.0250,-0.1250,0.1500,
0.0050,-0.0150,0.0050,0.0000,-0.1550,0.0100,0.0600,0.0200,0.0050,-0.1650,0.1750,
0.0200,-0.0050,-0.0300,-0.0200,-0.1550,-0.0100,0.0150,0.0350,0.0300,-0.1200,0.2550,
0.0150,0.0200,0.0000,-0.0200,-0.1250,0.0100,0.0500,0.0350,0.0250,-0.0750,0.1900,
0.0000,-0.0050,0.0150,0.0000,-0.1850,0.0150,-0.0050,0.0350,0.0200,-0.1700,0.1450,
0.0200,0.0150,-0.0200,-0.0150,-0.1750,0.0000,0.0000,0.0000,0.0300,-0.1650,0.2000,
0.0150,0.0050,-0.0150,-0.0250,-0.1750,0.0150,0.0350,-0.0200,0.0150,-0.1450,0.1800,
-0.0050,0.0200,-0.0150,-0.0250,-0.1350,0.0200,0.0400,0.0150,0.0200,-0.1000,0.1750,
0.0000,-0.0100,0.0100,0.0100,-0.0800,0.0100,0.0400,0.0350,0.0450,-0.1450,0.2250,
0.0050,-0.0050,-0.0050,-0.0050,-0.2200,0.0150,-0.0150,0.0250,-0.0200,-0.1050,0.1450,
0.0300,-0.0100,0.0050,-0.0050,-0.1450,0.0100,0.0350,0.0050,-0.0050,-0.1250,0.1050,
0.0100,0.0250,0.0300,-0.0800,-0.1850,0.0000,0.0050,0.0150,0.0200,-0.1050,0.1800,
-0.0050,0.0150,0.0000,-0.0400,-0.1550,0.0100,-0.0200,0.0100,0.0350,-0.1450,0.1750,
-0.0100,0.0050,-0.0200,-0.0400,-0.1300,0.0100,0.0700,0.0100,0.0300,-0.1400,0.1500,
-0.0050,0.0450,0.0050,-0.0200,-0.1050,-0.0050,0.0350,0.0450,0.0350,-0.1300,0.1550,
0.0100,0.0350,0.0000,-0.0200,-0.1950,0.0000,0.0150,0.0200,0.0350,-0.1850,0.1800,
-0.0050,0.0250,0.0050,0.0050,-0.1150,0.0300,-0.0300,0.0650,0.0450,-0.1300,0.1850,
-0.0150,0.0550,0.0050,-0.0300,-0.1700,0.0000,0.0450,0.0100,0.0200,-0.1600,0.1650,
-0.0100,0.0300,0.0100,-0.0450,-0.1300,0.0050,0.0450,-0.0300,0.0350,-0.0900,0.1050,
-0.0300,0.0250,-0.0100,-0.0400,-0.1200,0.0100,0.0050,0.0100,0.0450,-0.1350,0.1950,
0.0200,-0.0100,-0.0200,-0.0300,-0.1700,-0.0100,0.0650,0.0250,0.0450,-0.1700,0.1550,
0.0100,0.0150,-0.0100,-0.0600,-0.1600,0.0200,0.0150,0.0100,0.0150,-0.1100,0.1650,
-0.0100,0.0350,0.0000,-0.0500,-0.1500,0.0350,0.0400,0.0250,0.0950,-0.1950,0.1650,
-0.0200,0.0000,-0.0300,-0.0600,-0.1700,0.0000,0.0300,0.0000,0.0350,-0.1750,0.1800,
0.0050,-0.0300,-0.0050,0.0050,-0.0800,0.0050,0.0350,0.0250,0.0450,-0.1050,0.2250,
0.0200,0.0550,0.0000,-0.0450,-0.1950,-0.0050,0.0200,0.0000,0.0200,-0.1450,0.1200,
0.0150,0.0100,0.0350,-0.0350,-0.1300,0.0000,0.0100,0.0450,0.0100,-0.1400,0.1750,
0.0100,0.0150,0.0250,-0.0150,-0.1550,-0.0100,0.0250,0.0400,0.0150,-0.1600,0.1950,
0.0050,0.0100,-0.0400,0.0000,-0.1950,0.0050,-0.0100,0.0300,0.0600,-0.1050,0.1700,
-0.0250,0.0000,-0.0050,0.0150,-0.1850,-0.0100,0.0250,0.0400,0.0350,-0.1450,0.1400,
-0.0150,0.0200,-0.0150,-0.0150,-0.1350,0.0050,0.0700,0.0050,0.0300,-0.1450,0.1350,
0.0000,-0.0250,-0.0100,-0.0300,-0.1550,0.0100,0.0250,0.0100,-0.0250,-0.2100,0.1250,
-0.0050,0.0100,0.0200,-0.0600,-0.2050,0.0050,0.0200,0.0550,0.0250,-0.1450,0.1600,
0.0200,0.0400,0.0000,0.0150,-0.1250,-0.0050,0.0200,0.0200,0.0100,-0.0950,0.1700,
-0.0050,0.0450,0.0000,-0.0150,-0.2400,0.0000,0.0200,0.0050,0.0300,-0.1500,0.1350,
0.0050,0.0100,0.0050,-0.0250,-0.1550,0.0000,0.0250,0.0250,0.0250,-0.1700,0.1750,
0.0100,-0.0050,0.0050,0.0050,-0.1550,0.0000,0.0200,0.0400,0.0200,-0.1650,0.1550,
0.0100,0.0150,0.0000,-0.0300,-0.1350,0.0100,0.0100,0.0350,0.0250,-0.1350,0.2200,
-0.0250,0.0000,-0.0050,-0.0150,-0.1800,0.0250,-0.0050,0.0300,0.0300,-0.1850,0.1650,
0.0050,0.0250,-0.0100,-0.0550,-0.1400,0.0050,0.0250,0.0700,0.0100,-0.1450,0.2250,
0.0050,0.0450,-0.0050,-0.0100,-0.1050,0.0250,0.0300,0.0050,-0.0050,-0.1500,0.1850,
-0.0200,0.0600,-0.0200,-0.0250,-0.1350,-0.0050,0.0250,0.0100,0.0300,-0.2050,0.1800,
0.0050,0.0200,-0.0050,-0.0100,-0.1650,0.0100,-0.0100,0.0100,0.0500,-0.1650,0.1550,
-0.0100,0.0000,-0.0200,-0.0200,-0.1450,0.0150,0.0100,0.0650,-0.0050,-0.1150,0.1650,
0.0000,0.0050,0.0050,-0.0050,-0.1850,-0.0050,0.0150,0.0000,-0.0100,-0.1650,0.2100,
-0.0050,0.0350,0.0050,0.0000,-0.1400,0.0100,0.0150,0.0150,0.0050,-0.1600,0.1150,
0.0200,0.0950,0.0000,-0.0350,-0.1450,-0.0100,-0.0150,0.0300,-0.0250,-0.0850,0.1200,
-0.0050,0.0500,0.0150,-0.0300,-0.0700,-0.0050,0.0250,0.0050,0.0200,-0.1500,0.1800,
0.0100,0.0150,0.0350,0.0050,-0.1050,0.0100,0.0150,0.0100,0.0250,-0.1900,0.1000,
0.0050,0.0250,0.0050,-0.0100,-0.1500,0.0000,0.0000,0.0100,0.0500,-0.1600,0.1450,
0.0050,0.0150,0.0350,-0.0350,-0.1750,0.0050,0.0650,0.0150,0.0100,-0.0900,0.0900,
-0.0100,0.0450,0.0150,-0.0550,-0.1050,0.0250,0.0350,0.0800,0.0500,-0.1250,0.0900,
0.0050,0.0200,0.0000,-0.0300,-0.1500,0.0050,0.0200,0.0450,0.0400,-0.1200,0.2250,
-0.0100,0.0050,0.0250,-0.0350,-0.1700,-0.0050,0.0250,0.0250,0.0350,-0.1350,0.1950,
0.0150,0.0550,0.0100,-0.0500,-0.1750,0.0100,0.0000,0.0300,0.0300,-0.1200,0.1450,
-0.0200,0.0200,0.0050,-0.0400,-0.1750,0.0150,0.0000,0.0500,0.0100,-0.1700,0.1500,
-0.0150,0.0500,-0.0050,0.0150,-0.1150,0.0000,0.0400,0.0400,0.0100,-0.1250,0.1750,
-0.0200,-0.0250,-0.0050,-0.0500,-0.1600,0.0100,0.0300,0.0150,0.0400,-0.1350,0.1350,
0.0000,0.0050,-0.0300,-0.0250,-0.1850,-0.0100,0.0050,0.0000,0.0350,-0.1300,0.1500,
-0.0250,-0.0050,0.0150,0.0050,-0.1450,0.0100,0.0200,0.0100,0.0450,-0.1050,0.1150,
0.0000,0.0650,0.0000,0.0050,-0.1200,0.0150,-0.0050,0.0300,0.0400,-0.1550,0.1350,
0.0000,0.0200,-0.0350,-0.0050,-0.1600,0.0200,-0.0200,0.0350,-0.0200,-0.1500,0.1750,
-0.0150,0.0250,-0.0100,0.0050,-0.1700,0.0050,0.0400,0.0500,0.0400,-0.2150,0.1900,
-0.0100,0.0000,0.0150,-0.0150,-0.2050,0.0050,0.0450,0.0200,-0.0200,-0.1600,0.1250,
